name,category,description,examples,url,source
擦手巾,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
药材,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
彩笔,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
彩电,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
彩票,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
菜,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
餐盒,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
餐巾,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
餐纸,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
西洋参,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
蚕丝,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
蚕豆壳,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
残羹,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
残花,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
残枝,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
苍蝇,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
苍蝇拍,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
草,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
草莓,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
厕纸,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
厕所纸,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
手册,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
相册,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
宣传册,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
插排,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
插头,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
插座,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
叉子,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
塑料叉子,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
一次性叉子,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
茶,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
茶包,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
茶袋,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
搽鼻涕纸,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
火柴,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
硅胶铲,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
木铲板,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
电器产品,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
电子产品,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
水产类弃物,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
常温牛奶盒,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
常温牛奶盒子,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
平常喝的茶叶,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
长靴,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
长毛绒,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
长生果,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
红肠,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
香肠,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鱼肠,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
唱片,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
黑胶唱片,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
超能胶,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
手抄报,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
点钞机,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
过朝食品,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
防潮盒,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
防潮剂,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
吸潮剂,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
炒面,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
炒板栗,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
炒花生壳,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
尘土,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
灰尘,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
陈皮,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
衬衫,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
衬衣,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
橙,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
橙皮,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
橙子,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
中成药,有害垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
成人尿布,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
集成电路板,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
体重秤,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
吃过的甘蔗,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
吃剩的快餐,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
吃过的棒棒糖,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
钥匙,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
车钥匙,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
金属汤匙,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
電池,有害垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
蓄电池,有害垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
充电电池,有害垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
齿轮,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
牙齿,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
掉下来的牙齿,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
尺,其他垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
尺子,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
铁尺,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鸡翅,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
鸡翅骨头,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
白炽灯,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
白炽灯泡,有害垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
充电宝,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
充电器,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
充电线,可回收物,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
冲泡饮料,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
虫,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
虫子,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
米虫,厨余垃圾,,[],https://cdn.jsdelivr.net/npm/garbage-classification-data/garbage.json,garbage-classification-data
